roi_ind,important,r,p,r_abs,r_sign
393,0.0,0.61,0.03517263930998479,0.61,pos
394,0.0,0.58,0.04655837089162272,0.58,pos
395,1.0,-0.03,0.9235313740571526,0.03,neg
396,0.0,0.39,0.20708604356766647,0.39,pos
397,0.0,0.24,0.45525306175465474,0.24,pos
398,0.0,-0.1,0.7496751396852471,0.1,neg
399,0.0,0.03,0.9180115068534155,0.03,pos
400,0.0,0.27,0.39797459493004644,0.27,pos
401,0.0,0.41,0.18756611867466377,0.41,pos
402,1.0,0.53,0.074011776584795,0.53,pos
403,0.0,0.44,0.15253292653840975,0.44,pos
404,0.0,0.06,0.844114441227967,0.06,pos
405,0.0,-0.04,0.8991003330358889,0.04,neg
406,0.0,-0.34,0.27807662200731337,0.34,neg
407,0.0,-0.13,0.6863279889982951,0.13,neg
408,0.0,0.23,0.4692052363106674,0.23,pos
409,0.0,0.03,0.9199536848733874,0.03,pos
410,0.0,-0.01,0.9776066114288214,0.01,neg
411,0.0,0.28,0.3824552626334963,0.28,pos
412,0.0,0.22,0.5016940487363624,0.22,pos
413,0.0,0.3,0.3447643823550933,0.3,pos
414,0.0,0.11,0.7383015392708439,0.11,pos
415,0.0,-0.37,0.23901243961807736,0.37,neg
416,0.0,-0.2,0.5285323676106837,0.2,neg
417,0.0,-0.12,0.7131475898392792,0.12,neg
418,0.0,0.25,0.4349568712555282,0.25,pos
419,0.0,0.21,0.5154899718276166,0.21,pos
420,0.0,0.06,0.8618284572210846,0.06,pos
421,0.0,-0.12,0.7014159961112002,0.12,neg
422,0.0,0.41,0.19051031210266986,0.41,pos
423,0.0,0.15,0.6400731546572382,0.15,pos
424,0.0,0.38,0.21998768212687783,0.38,pos
425,0.0,0.13,0.6926171757101004,0.13,pos
426,0.0,0.09,0.7838411920924724,0.09,pos
427,0.0,0.32,0.3125009132067703,0.32,pos
428,0.0,-0.08,0.7955061766125465,0.08,neg
429,0.0,-0.08,0.8003393022594147,0.08,neg
430,0.0,0.2,0.5351914508223247,0.2,pos
431,0.0,0.03,0.9143413664003515,0.03,pos
432,0.0,-0.51,0.09038895331946789,0.51,neg
433,0.0,-0.34,0.2762748844643487,0.34,neg
434,0.0,0.28,0.38258260751419,0.28,pos
435,0.0,-0.04,0.9035360579658167,0.04,neg
