roi_ind,r,p
145,-0.13,0.6786403988867212
146,-0.26,0.4103790248595526
147,-0.19,0.5619377052488007
148,-0.19,0.559950591224507
149,-0.05,0.8855595788053781
150,-0.22,0.49928673640182936
151,-0.35,0.25970182206339143
152,-0.23,0.4736121950434893
153,-0.23,0.4800853871055118
154,-0.33,0.29972956739360346
155,-0.29,0.3670997904939315
156,0.12,0.7066919787909781
157,-0.05,0.874941987293978
158,-0.46,0.13057745114929037
159,-0.23,0.4702425396486131
160,-0.5,0.09979095091250657
161,0.11,0.7426337448913171
162,-0.47,0.1238196144522154
163,-0.24,0.4542807685318489
164,0.03,0.9156914490459547
165,-0.34,0.28325996978719087
166,0.1,0.7579499776404407
167,0.06,0.846933849600922
168,-0.1,0.7588504558116901
169,-0.2,0.5283580791061472
170,-0.06,0.8624238406435375
171,-0.08,0.8093770280969289
172,-0.09,0.7743200073525394
173,-0.14,0.674297946736978
174,-0.17,0.60468749807655
175,-0.3,0.3489114367516416
176,-0.24,0.4450433567583293
177,-0.12,0.6998893765834112
178,0.1,0.7459645584847848
179,-0.02,0.9489380629065665
180,-0.03,0.9303788691718715
181,-0.25,0.426933171900546
182,0.05,0.87025646643497
183,0.07,0.8241898734359523
184,-0.09,0.7703955958024656
185,-0.05,0.885582023858939
186,-0.07,0.8395691337641148
187,-0.21,0.5219300109985423
188,-0.11,0.723274812495978
189,-0.12,0.7022413221885861
190,-0.43,0.15831821309553137
191,0.03,0.9325065861311469
192,-0.51,0.09333148861583034
193,-0.3,0.34810711320948345
194,0.04,0.9035435176982243
195,-0.02,0.9523258985287789
196,-0.0,0.9896360346154972
197,-0.08,0.7967055469281079
198,-0.07,0.8227193303916411
199,-0.22,0.4927436424988789
200,0.44,0.14723244449367365
201,0.37,0.23347372845456296
202,-0.07,0.8243376151319947
203,-0.19,0.552679772546928
204,0.09,0.7834068923083692
205,-0.31,0.3320893412387075
206,-0.35,0.2623325518603429
207,-0.01,0.9778171716299248
208,-0.44,0.1550044290271123
209,0.2,0.5410944245975596
210,0.38,0.2182939128995415
211,0.06,0.8545738242050537
212,-0.11,0.7339840774689262
213,-0.19,0.5552222086563184
214,-0.11,0.7439310052051601
215,0.19,0.549962842971882
216,0.24,0.4530462317596471
217,0.03,0.9256883856446808
218,0.36,0.2505441636643071
219,0.03,0.9159884397905311
220,0.54,0.07104486757164886
221,0.07,0.8332255002668892
222,0.45,0.14681057368402695
223,-0.15,0.6375163644041023
224,-0.18,0.5848424929305956
225,-0.35,0.2614971963265685
226,-0.21,0.5132459218445932
227,-0.4,0.19618833480633907
228,-0.01,0.973059210638642
229,-0.13,0.6761247817182988
230,-0.2,0.5291257450463455
231,-0.11,0.7388024923333634
232,-0.01,0.9843135908418004
233,0.15,0.6479861295148602
234,-0.13,0.6968311233192068
235,0.11,0.7286931602638634
236,0.16,0.6303866513935977
237,-0.01,0.9690961848971825
238,-0.09,0.7815835882597023
239,-0.01,0.981175627722782
240,0.11,0.739765902921893
241,-0.0,0.9992274632654945
242,0.02,0.9557406962654221
243,0.08,0.8111199867841159
244,0.19,0.5545069428889832
245,0.2,0.5342859984560403
246,-0.06,0.8482772632614136
247,0.32,0.3042181451082474
248,-0.04,0.8914224457385028
249,0.32,0.31261131743582415
250,0.11,0.7384601305294057
251,0.03,0.9382872488294259
252,0.12,0.7083644476019286
253,0.08,0.8153095587674142
254,-0.36,0.2514563475969165
255,-0.26,0.4191408017238293
256,0.22,0.5001281779859953
257,-0.02,0.9626775783808003
258,0.14,0.6564015178570406
259,0.33,0.2958607011762168
260,-0.04,0.9080459558469146
261,0.52,0.0856659153074906
262,0.66,0.018652411486259263
263,0.03,0.9358694501798689
264,-0.14,0.6678266202853578
265,-0.25,0.432640205092949
266,-0.08,0.8158670208767599
267,-0.31,0.33267143838914004
268,-0.14,0.6608446358851362
269,-0.21,0.5101239468755113
270,-0.17,0.5980198599216211
271,-0.07,0.8364334675015676
272,-0.29,0.366620967946863
273,-0.13,0.6887383755891815
274,-0.29,0.35972707114737246
275,-0.34,0.2790342446702019
276,-0.26,0.42094215517951533
277,-0.2,0.5262464274360263
278,0.25,0.4284894944314601
279,-0.16,0.6164342909974658
280,-0.25,0.4418941134872655
281,0.35,0.27092235524218106
282,-0.11,0.7328442512179553
283,-0.03,0.9295399862914986
284,0.22,0.48427644562415295
285,-0.04,0.8992503733448044
286,-0.18,0.579251373364691
287,0.07,0.8312958208110606
288,0.11,0.743517889050918
289,-0.19,0.5541380017965328
290,-0.2,0.5259142481154037
291,-0.16,0.6213912070537169
292,0.02,0.9498755110882717
293,-0.32,0.3032230594333705
294,-0.29,0.36731536136927995
295,-0.29,0.35708709248801906
296,0.44,0.1560032372186009
297,-0.25,0.44130854686644616
298,0.28,0.37969600632509587
299,0.21,0.5195155333922363
300,0.21,0.5082101215071644
301,0.24,0.4532772495875603
302,0.27,0.40045042771572986
303,-0.21,0.5197389353712346
304,-0.27,0.3947275151492703
305,-0.56,0.05770152262399015
306,-0.11,0.7281762123120198
307,-0.49,0.10662172173791959
308,-0.26,0.41263085195337285
309,-0.19,0.549516154628301
310,-0.32,0.3090735383644539
311,0.1,0.7457262411753119
312,-0.14,0.6616434186911063
313,-0.21,0.5164523421426739
314,0.19,0.5583729975873697
315,-0.37,0.23152127237645612
316,0.07,0.8314727841677665
317,-0.05,0.8821004863077088
318,0.11,0.7237601938681933
319,0.15,0.6313565987356413
320,0.08,0.8063453436697466
321,0.12,0.7170986704499562
322,-0.01,0.9868757856637747
323,0.4,0.2020834555406722
324,-0.48,0.11107671145142377
325,-0.34,0.27912806225760156
326,-0.53,0.07685080317519502
327,-0.3,0.3406629528381177
328,-0.32,0.3166388716999814
329,-0.39,0.2164018452690217
330,-0.16,0.6297160013359342
331,-0.47,0.12481436168666339
332,-0.26,0.41469816116202474
333,0.1,0.7546941473676847
334,-0.51,0.08722607545599946
335,0.01,0.9688209155876925
336,-0.54,0.06786984933765709
337,-0.21,0.5091086263819261
338,-0.58,0.04937630849377476
339,-0.44,0.15072935503000154
340,-0.62,0.032941335573277185
341,-0.6,0.04117980148983242
342,-0.41,0.18460804178328133
343,-0.02,0.9602176175699461
344,-0.53,0.07648444472252983
345,-0.01,0.965720102637977
346,-0.77,0.003281029967205785
347,-0.66,0.01919117972172612
348,-0.59,0.045480503411850344
349,-0.57,0.05554307566102551
350,-0.43,0.16620482547511323
351,-0.57,0.05325610326988136
352,-0.17,0.6047131678950898
353,0.07,0.8317083586536953
354,-0.42,0.17438377635252347
355,-0.37,0.2337872285646699
356,-0.3,0.34331592029372227
357,-0.04,0.9003618680447187
358,-0.04,0.8931187719573865
359,-0.33,0.2871552507772034
360,-0.07,0.8187755956834138
361,-0.21,0.5128223596563113
362,-0.23,0.4685620255030857
363,-0.15,0.6359121498277062
364,-0.24,0.45065636852234847
365,-0.04,0.9046164491651946
366,-0.19,0.5506106395358191
367,0.31,0.32190197116014346
368,-0.01,0.9834163385896548
369,0.1,0.7570257965518005
370,0.24,0.45057104158684924
371,-0.16,0.6186323645423949
372,-0.07,0.819075994864014
373,-0.05,0.8776607552507443
374,-0.29,0.35227778801251575
375,0.12,0.7199984830374465
376,0.04,0.9086610338574018
377,0.23,0.4649570016780628
378,-0.08,0.800398061739158
379,0.07,0.827163901683797
380,0.34,0.2854177122782053
381,0.17,0.6017591134484731
382,-0.15,0.6313552418964504
383,0.0,0.988157139100004
384,0.44,0.14842548304264572
385,-0.18,0.5861624474393733
386,-0.07,0.8294917079173081
387,-0.35,0.2604670609177437
388,-0.17,0.5866756163507081
389,-0.34,0.27495594402202805
390,0.01,0.9831791704679985
391,-0.17,0.597848396303315
392,-0.05,0.8854742943488894
393,-0.02,0.9558661476252901
394,-0.05,0.8736111191044407
395,0.17,0.5959911134294427
396,-0.04,0.9012645276950588
397,-0.23,0.47627940182383616
398,0.39,0.21016139136418263
399,0.58,0.050110467154772936
400,-0.22,0.48897172410368556
401,-0.13,0.6887602155157702
402,-0.02,0.9486539245720567
403,0.18,0.5733410805516644
404,-0.36,0.255367943310288
405,0.18,0.5725018527455291
406,-0.47,0.12048173200643895
407,-0.16,0.608613031464504
408,0.28,0.370202924054993
409,0.35,0.26681980166574176
410,0.05,0.8862276193260584
411,0.2,0.5240349029876373
412,0.53,0.074108692641984
413,0.26,0.4094692296390236
414,0.08,0.7998783795488338
415,0.39,0.20388313368409874
416,-0.14,0.6675007491074163
417,-0.12,0.715195635156804
418,-0.13,0.6820433659711878
419,-0.27,0.39596827731741835
420,-0.07,0.8285644291650042
421,0.23,0.4800933466201502
422,0.38,0.22390855407900478
423,0.1,0.746615493945793
424,0.24,0.46018094991991315
425,0.21,0.5135601679051167
426,-0.0,0.9919441160593545
427,-0.04,0.8914709471396076
428,0.28,0.3749383666679725
429,0.56,0.05806264841839504
430,-0.28,0.3787985436567068
431,0.4,0.19661068906800291
432,-0.23,0.47725880571305035
433,-0.1,0.7495290012279822
434,0.32,0.31307985841225244
435,0.28,0.3744541511173333
