,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.6628310973512213,0.6264163614163614,0.6804532967032968
1,1,two_men,0.6480392156862745,0.6473297535797535,0.6851784326784326
2,2,two_men,0.6273542311661507,0.6108695471195471,0.658778305028305
3,3,two_men,0.6373856209150326,0.6310443722943723,0.6832752525252526
4,4,two_men,0.5906535947712419,0.5453739316239317,0.6336019536019535
5,5,two_men,0.6275369797041624,0.6141468253968253,0.620515873015873
6,6,two_men,0.6170915032679738,0.6081637806637807,0.6641071428571429
7,7,two_men,0.5683006535947712,0.5615539321789321,0.6103066378066377
8,8,two_men,0.6352450980392157,0.6176222388722388,0.6591023143523144
9,9,two_men,0.5896813725490196,0.5804638417138417,0.6689425574425574
10,0,bridgeville,0.680736154110767,0.6628418803418803,0.6986268823768823
11,1,bridgeville,0.6755555555555556,0.6712712287712288,0.7004793123543124
12,2,bridgeville,0.6794784141726867,0.651028971028971,0.6881235431235431
13,3,bridgeville,0.6708823529411765,0.6539411976911976,0.6909754689754689
14,4,bridgeville,0.6826797385620915,0.664435286935287,0.7378937728937729
15,5,bridgeville,0.6886824905400758,0.6523511904761905,0.6585416666666666
16,6,bridgeville,0.6357189542483661,0.6000054112554113,0.6806349206349206
17,7,bridgeville,0.628954248366013,0.612820165945166,0.6613861832611833
18,8,bridgeville,0.6784967320261439,0.6516464091464091,0.702877455877456
19,9,bridgeville,0.6651062091503268,0.6391909479409479,0.739254995004995
20,0,pockets,0.6022359821121432,0.5720680708180709,0.6373606023606023
21,1,pockets,0.6456535947712418,0.6259611222111222,0.6737392468642469
22,2,pockets,0.6347802717578259,0.6000079087579087,0.6629964133089132
23,3,pockets,0.6364705882352941,0.6128138528138529,0.6699621212121214
24,4,pockets,0.6430392156862745,0.638853785103785,0.6444536019536018
25,5,pockets,0.6643618851049192,0.6256150793650794,0.6821626984126985
26,6,pockets,0.6451960784313726,0.6013816738816739,0.6435479797979797
27,7,pockets,0.6185294117647058,0.6010001803751803,0.6411796536796537
28,8,pockets,0.5848202614379086,0.5521790709290708,0.6532113442113442
29,9,pockets,0.6143627450980391,0.5898029748029747,0.6615270285270286
30,0,overcome,0.6634158926728586,0.632779304029304,0.6583731854565189
31,1,overcome,0.6297058823529411,0.6162504162504162,0.6271286352536352
32,2,overcome,0.6095975232198143,0.5892420079920079,0.6350817932067933
33,3,overcome,0.6354901960784314,0.6212626262626263,0.66598556998557
34,4,overcome,0.5918300653594771,0.573592796092796,0.6298046398046397
