,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.7193326453388373,0.7017246642246642,0.7442577330077331
1,1,two_men,0.7330065359477125,0.7058462370962372,0.7521275252525252
2,2,two_men,0.7191627966976264,0.7063607226107227,0.7771537837162837
3,3,two_men,0.7209150326797387,0.6989628427128427,0.7143834776334776
4,4,two_men,0.6870261437908497,0.6539041514041515,0.7837515262515262
5,5,two_men,0.6956140350877194,0.6714980158730159,0.7179960317460317
6,6,two_men,0.734281045751634,0.7108820346320346,0.756534090909091
7,7,two_men,0.6963725490196078,0.6790972222222222,0.7418461399711399
8,8,two_men,0.7180228758169935,0.7168484293484293,0.8018466810966812
9,9,two_men,0.7225245098039216,0.7091548729048729,0.782484237984238
10,0,bridgeville,0.7651186790505676,0.7449923687423687,0.7866629358296026
11,1,bridgeville,0.7375490196078431,0.7122519147519147,0.7512121212121212
12,2,bridgeville,0.6913914688682491,0.6565338827838828,0.7286236333111333
13,3,bridgeville,0.6980065359477124,0.6718993506493506,0.7637132034632035
14,4,bridgeville,0.7103267973856208,0.6811294261294262,0.7628785103785104
15,5,bridgeville,0.6945992432060544,0.6444940476190475,0.7001686507936509
16,6,bridgeville,0.6904901960784314,0.6457846320346321,0.7045445526695526
17,7,bridgeville,0.6839215686274509,0.6646094877344878,0.7403959235209235
18,8,bridgeville,0.7208578431372549,0.7114202464202465,0.7935975690975691
19,9,bridgeville,0.6929411764705883,0.651983016983017,0.7796295371295371
20,0,pockets,0.5895252837977296,0.5646108058608059,0.6121594763261431
21,1,pockets,0.5746078431372549,0.5319201631701631,0.5741944860694861
22,2,pockets,0.5928276573787409,0.5670492007992008,0.6065666971916972
23,3,pockets,0.5581699346405229,0.5343795093795094,0.5826219336219336
24,4,pockets,0.5576470588235295,0.5421367521367522,0.5433516483516484
25,5,pockets,0.6130546955624355,0.5755853174603175,0.5975694444444445
26,6,pockets,0.6049673202614378,0.5554653679653679,0.5774098124098124
27,7,pockets,0.5695424836601307,0.5586832611832613,0.6090827922077922
28,8,pockets,0.5986029411764704,0.5859748584748584,0.6087160339660339
29,9,pockets,0.6096405228758169,0.5710343822843822,0.600253885003885
30,0,overcome,0.6004127966976264,0.5817338217338216,0.6330940510107176
31,1,overcome,0.6640196078431373,0.6407650682650683,0.6961394855144856
32,2,overcome,0.6348490712074304,0.6161467698967699,0.6506654456654457
33,3,overcome,0.6973529411764705,0.6740386002886003,0.707394660894661
34,4,overcome,0.6448366013071894,0.6343605006105006,0.7047420634920636
35,5,overcome,0.6742346061231511,0.6524702380952381,0.6801041666666666
36,6,overcome,0.6339542483660131,0.6128463203463204,0.660320165945166
37,7,overcome,0.6180392156862745,0.5682440476190476,0.6480799062049062
38,8,overcome,0.6388970588235294,0.5944265456765457,0.6547877955377956
39,9,overcome,0.6455637254901961,0.6326812076812076,0.7025939615939617
40,0,inception,0.724045407636739,0.6882188644688644,0.7583367250033917
41,1,inception,0.7108823529411763,0.6804599567099567,0.7565445665445666
42,2,inception,0.7362315101479189,0.71509324009324,0.7682423826173826
43,3,inception,0.7082679738562092,0.6841991341991341,0.7074372294372295
44,4,inception,0.7444117647058823,0.7213415750915751,0.7449832112332112
45,5,inception,0.6974372205022361,0.6380456349206349,0.682827380952381
46,6,inception,0.7012745098039216,0.6857088744588744,0.736896645021645
47,7,inception,0.6909150326797385,0.6762265512265513,0.7361760461760463
48,8,inception,0.7130392156862746,0.698168636918637,0.7363807581307581
49,9,inception,0.7177205882352942,0.7055346042846042,0.749720584970585
50,0,social_net,0.7802545579635363,0.7604716117216117,0.8117943630443631
51,1,social_net,0.7368954248366013,0.7275362137862139,0.7918772893772893
52,2,social_net,0.7669375644994839,0.7453259240759241,0.8440156024531025
53,3,social_net,0.7219934640522876,0.6840422077922078,0.7779458874458876
54,4,social_net,0.7539869281045752,0.7092750305250306,0.7798931623931623
55,5,social_net,0.7347953216374268,0.7017857142857143,0.8007936507936508
56,6,social_net,0.7804575163398694,0.7677326839826839,0.8508955627705628
57,7,social_net,0.7466666666666666,0.716046176046176,0.7999765512265513
58,8,social_net,0.7467810457516341,0.7205791430791432,0.8161973026973028
59,9,social_net,0.8003104575163398,0.7836267898767899,0.8451189366189367
60,0,oceans_11,0.6343653250773994,0.5967902930402931,0.6687613620946954
61,1,oceans_11,0.6549999999999999,0.655186063936064,0.7298445998445998
62,2,oceans_11,0.707438940488476,0.6830586080586081,0.7483856074481074
63,3,oceans_11,0.6587254901960784,0.6516973304473304,0.7063766233766233
64,4,oceans_11,0.6991176470588236,0.692263431013431,0.7323244810744811
65,5,oceans_11,0.6841761265909873,0.6732142857142858,0.7220535714285715
66,6,oceans_11,0.6884967320261438,0.673582251082251,0.7358558802308803
67,7,oceans_11,0.6619281045751634,0.632195165945166,0.7212887806637808
68,8,oceans_11,0.6901143790849674,0.703189726939727,0.767168525918526
69,9,oceans_11,0.6714133986928105,0.6681759906759906,0.725202047952048
70,0,flower,0.6942724458204335,0.664806166056166,0.7502453873287207
71,1,flower,0.6873529411764705,0.6515401265401265,0.7497016178266179
72,2,flower,0.6992819057447541,0.6553783716283716,0.7411087870462871
73,3,flower,0.723921568627451,0.6996176046176046,0.7933910533910533
74,4,flower,0.6676143790849672,0.6351877289377288,0.7039575702075702
75,5,flower,0.6755417956656348,0.637688492063492,0.7363492063492064
76,6,flower,0.7035620915032681,0.7025523088023088,0.758031204906205
77,7,flower,0.7203267973856209,0.7252759740259741,0.7799810606060605
78,8,flower,0.693406862745098,0.6912483349983349,0.7967877122877123
79,9,flower,0.6419199346405228,0.6114058164058165,0.7336199078699079
80,0,hotel,0.7085483316133472,0.6981501831501832,0.7357937355854023
81,1,hotel,0.6135947712418302,0.5999125874125875,0.6829218004218005
82,2,hotel,0.6279046267629859,0.6048522311022311,0.7063268328893328
83,3,hotel,0.6799346405228759,0.6693181818181818,0.6984567099567099
84,4,hotel,0.6875816993464052,0.6856593406593406,0.7520863858363858
85,5,hotel,0.6442724458204333,0.6253472222222223,0.6870138888888888
86,6,hotel,0.6634967320261438,0.6455537518037517,0.7030303030303029
87,7,hotel,0.6300326797385621,0.6094489538239538,0.7059550865800865
88,8,hotel,0.6862663398692809,0.6925163725163724,0.7401240981240981
89,9,hotel,0.6695996732026143,0.6566927516927517,0.6844716117216118
90,0,garden,0.711953904368765,0.7007097069597069,0.7792775742775742
91,1,garden,0.7321895424836601,0.7308936896436897,0.7880855949605949
92,2,garden,0.7359735122119023,0.7074238261738263,0.7353177378177378
93,3,garden,0.7178104575163399,0.7027940115440117,0.7529296536796537
94,4,garden,0.7477777777777779,0.7124526862026862,0.8042231379731379
95,5,garden,0.7063295493636051,0.6832539682539683,0.7535119047619047
