,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.740608875128999,0.7210302197802199,0.7499511599511599
1,1,two_men,0.6925816993464052,0.6969955044955045,0.7538480963480964
2,2,two_men,0.6845910732714138,0.6808936896436897,0.72548011016761
3,3,two_men,0.6804901960784313,0.6733459595959597,0.7521273448773448
4,4,two_men,0.6881045751633986,0.6603693528693528,0.7003922466422468
5,5,two_men,0.7370829033367732,0.710734126984127,0.7295039682539682
6,6,two_men,0.7231372549019608,0.700784632034632,0.7224359668109668
7,7,two_men,0.6469281045751634,0.6445743145743146,0.7328409090909089
8,8,two_men,0.6576062091503269,0.6553255078255079,0.7780457597957599
9,9,two_men,0.7166013071895425,0.7171683871683872,0.7400115440115439
10,0,bridgeville,0.6705710354317166,0.6458150183150183,0.6965240469407137
11,1,bridgeville,0.6324509803921569,0.616755328005328,0.6531994394494394
12,2,bridgeville,0.6076904884760921,0.5869813519813519,0.6201922730047731
13,3,bridgeville,0.637483660130719,0.6239015151515153,0.6639292929292929
14,4,bridgeville,0.6596078431372548,0.6304014041514041,0.656486568986569
15,5,bridgeville,0.6105091159270726,0.5671825396825396,0.5900297619047619
16,6,bridgeville,0.6204901960784314,0.5892334054834054,0.6187626262626262
17,7,bridgeville,0.6722875816993464,0.6551911976911976,0.6592523448773449
18,8,bridgeville,0.6361192810457517,0.6201961926961927,0.6682006882006882
19,9,bridgeville,0.6974183006535948,0.6785450660450661,0.698368131868132
20,0,pockets,0.6451152390780874,0.6332875457875458,0.6732785578618913
21,1,pockets,0.6502941176470588,0.6223081085581086,0.6847609335109335
22,2,pockets,0.652468180254558,0.6449875124875124,0.6582980214230214
23,3,pockets,0.6593464052287581,0.641367243867244,0.6254307359307358
24,4,pockets,0.6061764705882353,0.6324252136752138,0.6733394383394383
25,5,pockets,0.6662882696938424,0.634781746031746,0.6397519841269841
26,6,pockets,0.61218954248366,0.5838149350649351,0.6114475108225108
27,7,pockets,0.633921568627451,0.6218993506493506,0.6434397546897547
28,8,pockets,0.6487745098039215,0.6261845099345099,0.6579662004662005
29,9,pockets,0.6652941176470588,0.645223248973249,0.6699475801975802
30,0,inception,0.7289129686962503,0.6978220390720391,0.7636550332383666
31,1,inception,0.6935620915032681,0.695586913086913,0.7561809024309025
32,2,inception,0.7139748882008944,0.7043814518814518,0.7890247252747253
33,3,inception,0.7386928104575163,0.7158892496392497,0.7749592352092354
34,4,inception,0.7059803921568628,0.6726831501831501,0.7590735653235654
35,5,inception,0.7092019263845889,0.6842658730158729,0.7386805555555556
36,6,inception,0.6643790849673203,0.63491341991342,0.7279599567099568
37,7,inception,0.6871241830065359,0.6777858946608947,0.7517866161616162
38,8,inception,0.732671568627451,0.7317021867021867,0.7997262737262738
39,9,inception,0.7009150326797385,0.6707047119547119,0.7448950216450216
40,0,social_net,0.656295149638803,0.6394352869352868,0.7435551485551486
41,1,social_net,0.6649019607843137,0.6648247585747586,0.7196232239982241
42,2,social_net,0.7012168902648779,0.6681451881451881,0.7610856851481851
43,3,social_net,0.6749346405228759,0.6436850649350648,0.7277500000000001
44,4,social_net,0.6883333333333332,0.6587118437118437,0.7257432844932845
45,5,social_net,0.700189198486412,0.6896924603174603,0.7537896825396826
46,6,social_net,0.6846078431372549,0.6851262626262626,0.7676848845598846
47,7,social_net,0.6894771241830064,0.6754013347763349,0.7751470057720058
48,8,social_net,0.6515359477124183,0.6466344766344767,0.7668951603951604
49,9,social_net,0.6922303921568628,0.656029526029526,0.780392773892774
50,0,oceans_11,0.6228930168558652,0.6010882173382173,0.6743956043956044
51,1,oceans_11,0.688562091503268,0.6651848151848152,0.7418965756465756
