,movie,seed,fold,accuracy,balanced_accuracy,roc_auc
0,two_men,0,1,0.6666666666666666,0.65,0.7374999999999999
1,two_men,0,2,0.6666666666666666,0.6375,0.8375
2,two_men,0,3,0.7222222222222222,0.6666666666666667,0.763888888888889
3,two_men,0,4,0.6470588235294118,0.6785714285714286,0.7857142857142858
4,two_men,0,5,0.5882352941176471,0.6442307692307692,0.7884615384615384
5,two_men,0,6,0.631578947368421,0.42857142857142855,0.34285714285714286
6,two_men,0,7,0.7222222222222222,0.7222222222222222,0.8024691358024691
7,two_men,0,8,0.7222222222222222,0.6666666666666667,0.7222222222222223
8,two_men,0,9,0.7777777777777778,0.775,0.9
9,two_men,0,10,0.7647058823529411,0.6730769230769231,0.826923076923077
10,two_men,1,1,0.7647058823529411,0.7424242424242424,0.8787878787878787
11,two_men,1,2,0.7222222222222222,0.6948051948051948,0.8441558441558441
12,two_men,1,3,0.7222222222222222,0.7125,0.85
13,two_men,1,4,0.7647058823529411,0.8461538461538461,0.9423076923076924
14,two_men,1,5,0.6,0.6458333333333334,0.7708333333333333
15,two_men,1,6,0.6666666666666666,0.7083333333333334,0.7916666666666667
16,two_men,1,7,0.6666666666666666,0.625,0.7222222222222222
17,two_men,1,8,0.6666666666666666,0.6875,0.7625
18,two_men,1,9,0.8235294117647058,0.7857142857142857,0.8714285714285713
19,two_men,1,10,0.6470588235294118,0.6826923076923077,0.6923076923076923
20,two_men,2,1,0.6666666666666666,0.42857142857142855,0.4821428571428571
21,two_men,2,2,0.8888888888888888,0.875,0.9000000000000001
22,two_men,2,3,0.6666666666666666,0.675,0.7875000000000001
23,two_men,2,4,0.75,0.75,0.953125
24,two_men,2,5,0.5,0.5,0.5694444444444444
25,two_men,2,6,0.6666666666666666,0.6461538461538461,0.7692307692307693
26,two_men,2,7,0.5294117647058824,0.5227272727272727,0.5606060606060606
27,two_men,2,8,0.6111111111111112,0.48214285714285715,0.5178571428571428
28,two_men,2,9,0.8333333333333334,0.7916666666666666,0.7916666666666666
29,two_men,2,10,0.7368421052631579,0.7045454545454546,0.7272727272727273
30,two_men,3,1,0.7058823529411765,0.6857142857142857,0.8571428571428572
31,two_men,3,2,0.6666666666666666,0.65,0.875
32,two_men,3,3,0.6666666666666666,0.6625,0.825
33,two_men,3,4,0.7058823529411765,0.6875,0.8611111111111112
34,two_men,3,5,0.6,0.6,0.61
35,two_men,3,6,0.6666666666666666,0.6071428571428572,0.6964285714285714
36,two_men,3,7,0.5882352941176471,0.475,0.5
37,two_men,3,8,0.8333333333333334,0.8333333333333334,0.9027777777777778
38,two_men,3,9,0.6111111111111112,0.6,0.625
39,two_men,3,10,0.6470588235294118,0.5757575757575758,0.696969696969697
40,two_men,4,1,0.7058823529411765,0.5480769230769231,0.6730769230769231
41,two_men,4,2,0.8888888888888888,0.8392857142857143,0.875
42,two_men,4,3,0.6666666666666666,0.6375,0.75
43,two_men,4,4,0.7058823529411765,0.7152777777777778,0.9305555555555556
44,two_men,4,5,0.6470588235294118,0.6388888888888888,0.625
45,two_men,4,6,0.65,0.5659340659340659,0.6043956043956044
46,two_men,4,7,0.8333333333333334,0.7142857142857143,0.8392857142857143
47,two_men,4,8,0.6666666666666666,0.625,0.6527777777777778
48,two_men,4,9,0.8333333333333334,0.8333333333333334,0.888888888888889
49,two_men,4,10,0.5882352941176471,0.5763888888888888,0.6388888888888888
50,two_men,5,1,0.5882352941176471,0.5833333333333333,0.6666666666666667
51,two_men,5,2,0.8333333333333334,0.8035714285714286,0.8928571428571428
52,two_men,5,3,0.7777777777777778,0.7678571428571428,0.8392857142857143
53,two_men,5,4,0.7222222222222222,0.625,0.71875
54,two_men,5,5,0.6666666666666666,0.675,0.775
55,two_men,5,6,0.7058823529411765,0.7083333333333333,0.7222222222222222
56,two_men,5,7,0.5789473684210527,0.5833333333333333,0.6888888888888889
57,two_men,5,8,0.5555555555555556,0.5375,0.6875
58,two_men,5,9,0.5882352941176471,0.6041666666666666,0.8055555555555555
59,two_men,5,10,0.6666666666666666,0.6875,0.875
60,two_men,6,1,0.7777777777777778,0.6666666666666666,0.9027777777777779
61,two_men,6,2,0.6470588235294118,0.575,0.7666666666666667
62,two_men,6,3,0.7777777777777778,0.7678571428571428,0.9285714285714286
63,two_men,6,4,0.7647058823529411,0.7638888888888888,0.7777777777777778
64,two_men,6,5,0.5294117647058824,0.5138888888888888,0.5833333333333333
65,two_men,6,6,0.7647058823529411,0.8181818181818181,0.803030303030303
66,two_men,6,7,0.65,0.7083333333333334,0.78125
67,two_men,6,8,0.7777777777777778,0.7083333333333333,0.763888888888889
68,two_men,6,9,0.7222222222222222,0.7125,0.7375
69,two_men,6,10,0.7222222222222222,0.6948051948051948,0.8441558441558441
70,two_men,7,1,0.7058823529411765,0.6590909090909092,0.7575757575757576
71,two_men,7,2,0.8823529411764706,0.9,0.9285714285714286
72,two_men,7,3,0.7222222222222222,0.6875,0.8
73,two_men,7,4,0.7777777777777778,0.7625,0.875
74,two_men,7,5,0.8333333333333334,0.8333333333333334,0.8611111111111112
75,two_men,7,6,0.5555555555555556,0.53125,0.46875
76,two_men,7,7,0.7647058823529411,0.7569444444444444,0.611111111111111
77,two_men,7,8,0.55,0.5,0.44791666666666663
78,two_men,7,9,0.7222222222222222,0.7,0.75
79,two_men,7,10,0.7058823529411765,0.7152777777777778,0.7638888888888888
80,two_men,8,1,0.6666666666666666,0.6375,0.8
81,two_men,8,2,0.8333333333333334,0.8035714285714286,0.8928571428571428
82,two_men,8,3,0.8333333333333334,0.8333333333333334,0.8194444444444445
83,two_men,8,4,0.6875,0.6587301587301587,0.8571428571428572
84,two_men,8,5,0.6666666666666666,0.625,0.6666666666666666
85,two_men,8,6,0.7777777777777778,0.8571428571428572,0.8928571428571428
86,two_men,8,7,0.7647058823529411,0.8461538461538461,0.8269230769230769
87,two_men,8,8,0.5882352941176471,0.6071428571428572,0.7000000000000001
88,two_men,8,9,0.6,0.6,0.5599999999999999
89,two_men,8,10,0.6666666666666666,0.7272727272727273,0.7662337662337663
90,two_men,9,1,0.5,0.4920634920634921,0.6666666666666667
91,two_men,9,2,0.6666666666666666,0.5833333333333334,0.6111111111111112
92,two_men,9,3,0.7222222222222222,0.7375,0.875
93,two_men,9,4,0.8333333333333334,0.75,0.8055555555555556
94,two_men,9,5,0.7777777777777778,0.7662337662337663,0.8701298701298701
95,two_men,9,6,0.8235294117647058,0.75,0.8787878787878788
96,two_men,9,7,0.55,0.55,0.74
97,two_men,9,8,0.6666666666666666,0.6071428571428572,0.5714285714285714
98,two_men,9,9,0.6111111111111112,0.6375,0.7
99,two_men,9,10,0.5294117647058824,0.6057692307692308,0.7884615384615385
100,bridgeville,0,1,0.7777777777777778,0.75,0.8125
101,bridgeville,0,2,0.7777777777777778,0.7625,0.7875000000000001
102,bridgeville,0,3,0.7777777777777778,0.7083333333333333,0.7916666666666667
103,bridgeville,0,4,0.6470588235294118,0.7,0.5857142857142857
104,bridgeville,0,5,0.5294117647058824,0.5192307692307692,0.6730769230769231
105,bridgeville,0,6,0.47368421052631576,0.45,0.4142857142857143
106,bridgeville,0,7,0.7222222222222222,0.7222222222222222,0.8271604938271605
107,bridgeville,0,8,0.7222222222222222,0.7083333333333333,0.7083333333333334
108,bridgeville,0,9,0.8333333333333334,0.85,0.925
109,bridgeville,0,10,0.7058823529411765,0.7211538461538461,0.6923076923076923
110,bridgeville,1,1,0.7058823529411765,0.6590909090909092,0.5151515151515151
111,bridgeville,1,2,0.7777777777777778,0.7662337662337663,0.7792207792207791
112,bridgeville,1,3,0.5555555555555556,0.55,0.6125
113,bridgeville,1,4,0.7647058823529411,0.6730769230769231,0.7307692307692308
114,bridgeville,1,5,0.6,0.6666666666666666,0.7291666666666667
115,bridgeville,1,6,0.8333333333333334,0.8333333333333334,0.888888888888889
116,bridgeville,1,7,0.6111111111111112,0.5416666666666666,0.5277777777777777
117,bridgeville,1,8,0.7777777777777778,0.7875,0.8625
118,bridgeville,1,9,0.8235294117647058,0.8285714285714285,0.8714285714285713
119,bridgeville,1,10,0.7647058823529411,0.6730769230769231,0.8653846153846153
120,bridgeville,2,1,0.7777777777777778,0.6785714285714286,0.7857142857142857
121,bridgeville,2,2,0.7222222222222222,0.7125,0.775
122,bridgeville,2,3,0.5555555555555556,0.5625,0.5625
123,bridgeville,2,4,0.8125,0.8125,0.84375
124,bridgeville,2,5,0.5555555555555556,0.5,0.4305555555555556
125,bridgeville,2,6,0.8333333333333334,0.823076923076923,0.8769230769230769
126,bridgeville,2,7,0.6470588235294118,0.6893939393939394,0.6818181818181818
127,bridgeville,2,8,0.8333333333333334,0.8928571428571428,0.9285714285714286
128,bridgeville,2,9,0.5555555555555556,0.4583333333333333,0.5277777777777777
129,bridgeville,2,10,0.7894736842105263,0.7840909090909092,0.8409090909090909
130,bridgeville,3,1,0.8235294117647058,0.8071428571428572,0.8714285714285714
131,bridgeville,3,2,0.7777777777777778,0.775,0.7499999999999999
132,bridgeville,3,3,0.6666666666666666,0.65,0.8125
133,bridgeville,3,4,0.6470588235294118,0.6319444444444444,0.6666666666666667
134,bridgeville,3,5,0.45,0.45,0.52
135,bridgeville,3,6,0.6666666666666666,0.42857142857142855,0.6428571428571429
136,bridgeville,3,7,0.7058823529411765,0.7916666666666667,0.8833333333333334
137,bridgeville,3,8,0.6666666666666666,0.6666666666666666,0.75
138,bridgeville,3,9,0.7222222222222222,0.6875,0.6875
139,bridgeville,3,10,0.8823529411764706,0.8712121212121212,0.9090909090909091
140,bridgeville,4,1,0.6470588235294118,0.5096153846153846,0.4615384615384615
141,bridgeville,4,2,0.6666666666666666,0.6964285714285714,0.857142857142857
142,bridgeville,4,3,0.7222222222222222,0.725,0.8875
143,bridgeville,4,4,0.7058823529411765,0.7152777777777778,0.8472222222222222
144,bridgeville,4,5,0.6470588235294118,0.6388888888888888,0.7777777777777778
145,bridgeville,4,6,0.55,0.521978021978022,0.5054945054945055
146,bridgeville,4,7,0.8333333333333334,0.8035714285714286,0.875
147,bridgeville,4,8,0.6666666666666666,0.5416666666666666,0.5138888888888888
148,bridgeville,4,9,0.6666666666666666,0.75,0.875
149,bridgeville,4,10,0.7647058823529411,0.75,0.763888888888889
150,bridgeville,5,1,0.5882352941176471,0.5763888888888888,0.5555555555555556
151,bridgeville,5,2,0.8333333333333334,0.8035714285714286,0.8392857142857143
152,bridgeville,5,3,0.8333333333333334,0.8928571428571428,0.8928571428571429
153,bridgeville,5,4,0.6111111111111112,0.34375,0.25
