,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.6686790505675954,0.6368238705738707,0.7155940510107177
1,1,two_men,0.6817973856209151,0.6670541958041959,0.7152389971139971
2,2,two_men,0.6773198314413486,0.6513607226107225,0.7569482947607947
3,3,two_men,0.7022549019607844,0.6842622655122655,0.744037518037518
4,4,two_men,0.690718954248366,0.6715567765567765,0.7341544566544568
5,5,two_men,0.6464912280701756,0.6098511904761905,0.7237202380952381
6,6,two_men,0.6950653594771242,0.679375901875902,0.7249449855699854
7,7,two_men,0.6722875816993465,0.655799963924964,0.7392667748917748
8,8,two_men,0.6475081699346406,0.6319308469308468,0.7421811244311243
9,9,two_men,0.6847875816993465,0.6637135087135088,0.7884550172050172
10,0,bridgeville,0.7372721018231854,0.7057631257631258,0.7532081807081807
11,1,bridgeville,0.7004248366013072,0.6715147352647353,0.7108972971472971
12,2,bridgeville,0.7010061919504644,0.661125124875125,0.7440877525252525
13,3,bridgeville,0.7056535947712419,0.6846969696969697,0.7824581529581529
14,4,bridgeville,0.6441176470588235,0.6081166056166056,0.6646291208791208
15,5,bridgeville,0.7141038871689027,0.6676587301587301,0.7226289682539684
16,6,bridgeville,0.6751633986928104,0.6406421356421357,0.7083071789321789
17,7,bridgeville,0.6518300653594771,0.642841810966811,0.6999981962481963
18,8,bridgeville,0.7229411764705883,0.6931103618603619,0.7246888111888111
19,9,bridgeville,0.6713153594771242,0.6512513875013874,0.7593966588966589
20,0,pockets,0.6582215342277263,0.6216025641025642,0.6730231651064984
21,1,pockets,0.6487908496732026,0.6052738927738927,0.6699104367854368
22,2,pockets,0.646843825249398,0.6101215451215449,0.6398827561327562
23,3,pockets,0.6469281045751634,0.6096789321789322,0.6769635642135642
24,4,pockets,0.6066339869281047,0.5711492673992675,0.625764652014652
25,5,pockets,0.6284829721362231,0.5681448412698413,0.6294444444444445
26,6,pockets,0.6216339869281046,0.5636219336219337,0.6508270202020203
27,7,pockets,0.6408496732026144,0.6036886724386724,0.6926659451659452
28,8,pockets,0.6498202614379084,0.6220432345432345,0.6863360528360528
29,9,pockets,0.6514950980392158,0.5943639693639694,0.6730574148074148
30,0,overcome,0.6004127966976264,0.5817338217338216,0.6330940510107176
31,1,overcome,0.6640196078431373,0.6407650682650683,0.6961394855144856
32,2,overcome,0.6348490712074304,0.6161467698967699,0.6506654456654457
33,3,overcome,0.6973529411764705,0.6740386002886003,0.707394660894661
34,4,overcome,0.6448366013071894,0.6343605006105006,0.7047420634920636
35,5,overcome,0.6742346061231511,0.6524702380952381,0.6801041666666666
36,6,overcome,0.6339542483660131,0.6128463203463204,0.660320165945166
37,7,overcome,0.6180392156862745,0.5682440476190476,0.6480799062049062
38,8,overcome,0.6388970588235294,0.5944265456765457,0.6547877955377956
39,9,overcome,0.6455637254901961,0.6326812076812076,0.7025939615939617
40,0,inception,0.7141726866185072,0.6575747863247863,0.7291840489757156
41,1,inception,0.6916993464052288,0.6653121878121879,0.7072313797313797
42,2,inception,0.6962869797041623,0.6828488178488179,0.7382279179154179
43,3,inception,0.687156862745098,0.6431709956709957,0.668940836940837
44,4,inception,0.6823202614379085,0.6549160561660561,0.7094673382173382
45,5,inception,0.6572411420708635,0.6420535714285714,0.6801587301587302
46,6,inception,0.6567320261437908,0.6433658008658008,0.6905411255411256
47,7,inception,0.667483660130719,0.6484686147186147,0.7134830447330447
48,8,inception,0.6849754901960785,0.6583105783105784,0.6982491397491397
49,9,inception,0.6470179738562092,0.6401486013986014,0.7084255744255744
50,0,social_net,0.730220158238734,0.7129746642246643,0.7991032424365758
51,1,social_net,0.7034640522875817,0.6962699800199801,0.7733341658341659
52,2,social_net,0.7754815961472307,0.7607559107559109,0.8057008963258963
53,3,social_net,0.6937908496732026,0.6502958152958154,0.7880519480519481
54,4,social_net,0.7258823529411764,0.6874893162393162,0.7894871794871795
55,5,social_net,0.7304781561747505,0.7061408730158731,0.7825892857142855
56,6,social_net,0.7300326797385621,0.7100324675324676,0.7626650432900433
57,7,social_net,0.7142483660130718,0.6932088744588744,0.7405330086580086
58,8,social_net,0.7309558823529411,0.702753774003774,0.7958510656010657
59,9,social_net,0.7534558823529411,0.7424790487290488,0.8109094239094239
60,0,oceans_11,0.6559683522531821,0.612312271062271,0.6985575227241893
61,1,oceans_11,0.6535947712418301,0.6451735764235764,0.7371980796980797
62,2,oceans_11,0.7194960440316477,0.6943518981018981,0.7533283730158731
63,3,oceans_11,0.6661437908496731,0.6501695526695527,0.7162319624819624
64,4,oceans_11,0.6820261437908497,0.6769322344322345,0.7361889499389499
65,5,oceans_11,0.668094255245958,0.6688492063492064,0.7307738095238097
66,6,oceans_11,0.6544117647058825,0.6337842712842713,0.7269904401154401
67,7,oceans_11,0.6585947712418301,0.6580284992784995,0.7429590548340548
68,8,oceans_11,0.6783088235294118,0.6635468697968697,0.7701522089022089
69,9,oceans_11,0.6904411764705883,0.6735071872571873,0.761897297147297
70,0,flower,0.702046783625731,0.6694429181929181,0.76449243657577
71,1,flower,0.6805882352941176,0.6392715617715619,0.7365044677544678
72,2,flower,0.7264748882008945,0.6925199800199799,0.7523328060828061
73,3,flower,0.7295751633986929,0.7136868686868687,0.7637579365079367
74,4,flower,0.6697058823529412,0.626001221001221,0.7476427045177045
75,5,flower,0.714499484004128,0.6704464285714287,0.7549107142857144
76,6,flower,0.7264379084967321,0.709810606060606,0.7440800865800867
77,7,flower,0.7312091503267972,0.7295021645021644,0.817719155844156
78,8,flower,0.6902532679738561,0.6551011488511488,0.7591450493950493
79,9,flower,0.6815114379084968,0.659656732156732,0.7435160395160396
80,0,hotel,0.6523391812865497,0.6260042735042736,0.6930233346900014
81,1,hotel,0.60140522875817,0.5852247752247751,0.6320453851703851
82,2,hotel,0.5989895080839354,0.5795637695637695,0.622670177045177
83,3,hotel,0.6188235294117647,0.6068181818181818,0.6490696248196247
84,4,hotel,0.6479084967320261,0.6430708180708182,0.7090399877899878
85,5,hotel,0.6164602683178535,0.5917757936507937,0.6295535714285714
86,6,hotel,0.6399673202614379,0.6332341269841268,0.6526280663780663
87,7,hotel,0.6067320261437907,0.5768199855699856,0.6452570346320347
88,8,hotel,0.657467320261438,0.6744012931512932,0.716142440892441
89,9,hotel,0.6211192810457516,0.6055221167721168,0.6795561383061383
90,0,garden,0.7234262125902993,0.7040201465201466,0.7818377764211097
