,seed,movie,accuracy,balanced_accuracy,roc_auc
0,0,two_men,0.6560027519779842,0.5950778388278388,0.6288261429928097
1,1,two_men,0.6415032679738562,0.6344888444888445,0.6959539765789766
2,2,two_men,0.595231338149295,0.5610048285048285,0.6455755008880009
3,3,two_men,0.5840849673202614,0.564615800865801,0.5919884559884561
4,4,two_men,0.5856209150326798,0.5623260073260072,0.6347161172161172
5,5,two_men,0.6058995528035777,0.567063492063492,0.5950496031746032
6,6,two_men,0.6137254901960784,0.5776280663780663,0.6246022727272729
7,7,two_men,0.6301633986928105,0.6049666305916307,0.6845472582972583
8,8,two_men,0.6179248366013071,0.6012526362526363,0.6488715451215451
9,9,two_men,0.6260375816993464,0.5982721445221445,0.6410447052947053
10,0,bridgeville,0.7092363261093911,0.6820894383394384,0.7168733889567223
11,1,bridgeville,0.7153267973856209,0.6968148518148517,0.7310785742035742
12,2,bridgeville,0.7242840557275542,0.6920750083250082,0.731714153901654
13,3,bridgeville,0.7215359477124184,0.6905934343434345,0.7379963924963925
14,4,bridgeville,0.6554575163398693,0.6318498168498169,0.6754639804639805
15,5,bridgeville,0.6454764361885104,0.6146130952380953,0.6390476190476191
16,6,bridgeville,0.6626143790849672,0.6426893939393941,0.6885254329004329
17,7,bridgeville,0.6221895424836602,0.6035425685425684,0.705814393939394
18,8,bridgeville,0.6722467320261438,0.6487404262404264,0.723072039072039
19,9,bridgeville,0.697107843137255,0.6530928793428794,0.7307950937950938
20,0,pockets,0.6029239766081872,0.5558592796092796,0.6066992266992267
21,1,pockets,0.5403594771241831,0.5153146853146853,0.5335590798090799
22,2,pockets,0.5617883556931546,0.5220750083250083,0.5415462315462316
23,3,pockets,0.5069934640522875,0.5004473304473305,0.5671482683982684
24,4,pockets,0.6353921568627451,0.5964102564102565,0.5580677655677656
25,5,pockets,0.6235466116271071,0.5595337301587302,0.6123710317460318
26,6,pockets,0.5663398692810457,0.529491341991342,0.5205916305916306
27,7,pockets,0.5851960784313726,0.5649170274170274,0.575145652958153
28,8,pockets,0.5893545751633986,0.5608857808857809,0.5346630036630037
29,9,pockets,0.5936274509803923,0.5659837384837385,0.6043237318237319
30,0,overcome,0.6634158926728586,0.632779304029304,0.6583731854565189
31,1,overcome,0.6297058823529411,0.6162504162504162,0.6271286352536352
32,2,overcome,0.6095975232198143,0.5892420079920079,0.6350817932067933
33,3,overcome,0.6354901960784314,0.6212626262626263,0.66598556998557
34,4,overcome,0.5918300653594771,0.573592796092796,0.6298046398046397
35,5,overcome,0.6275369797041623,0.6000694444444444,0.5804365079365079
36,6,overcome,0.6079411764705882,0.5786760461760462,0.6192929292929293
37,7,overcome,0.6170588235294118,0.609025974025974,0.6633080808080808
38,8,overcome,0.6014705882352941,0.5525129037629037,0.5953011988011988
39,9,overcome,0.6354656862745098,0.5968231768231768,0.6831246253746254
40,0,inception,0.6448572411420708,0.6221138583638585,0.6719503798670465
41,1,inception,0.6398366013071896,0.6337150349650349,0.6789536158286159
42,2,inception,0.6523929308565531,0.6376714951714951,0.642861686924187
43,3,inception,0.6403921568627451,0.6199512987012986,0.6405039682539683
44,4,inception,0.6299346405228758,0.6176068376068375,0.6802152014652014
45,5,inception,0.6072755417956657,0.574702380952381,0.5977083333333334
46,6,inception,0.6041176470588235,0.589018759018759,0.6496455627705628
47,7,inception,0.6416993464052289,0.6331610750360751,0.6845734126984128
48,8,inception,0.6678431372549019,0.6702346264846266,0.689812826062826
49,9,inception,0.6774346405228758,0.6691072816072816,0.6959317349317349
50,0,social_net,0.6285173718610251,0.6072130647130647,0.6789538393705061
51,1,social_net,0.6326797385620916,0.6271436896436897,0.6955289849039848
52,2,social_net,0.6352102683178534,0.6300145687645688,0.6669196428571429
53,3,social_net,0.5974509803921569,0.5766847041847042,0.6640670995670995
54,4,social_net,0.6434640522875817,0.6264758852258852,0.6647374847374847
55,5,social_net,0.6676986584107327,0.6101289682539682,0.6718253968253968
56,6,social_net,0.6399673202614379,0.6073322510822511,0.6603165584415585
57,7,social_net,0.6464705882352941,0.649716810966811,0.6793614718614719
58,8,social_net,0.6233006535947713,0.6406195193695193,0.6660893273393272
59,9,social_net,0.675580065359477,0.6629034854034855,0.7240315795315795
60,0,oceans_11,0.6807705538355693,0.6644429181929181,0.695452787952788
61,1,oceans_11,0.6655555555555555,0.6656393606393607,0.7109924103674103
62,2,oceans_11,0.7132116443068454,0.6621940559440559,0.7551638292263293
63,3,oceans_11,0.619934640522876,0.6041612554112553,0.6597463924963923
64,4,oceans_11,0.6628104575163398,0.6371321733821732,0.7210592185592187
65,5,oceans_11,0.6618507051943585,0.6364781746031747,0.7165079365079364
66,6,oceans_11,0.657156862745098,0.627972582972583,0.6834758297258298
67,7,oceans_11,0.6772222222222223,0.6565223665223664,0.6818768037518038
68,8,oceans_11,0.6247303921568627,0.6276662226662226,0.7288550893550895
69,9,oceans_11,0.7072875816993465,0.6732492507492507,0.728265984015984
70,0,flower,0.5549191606467148,0.5525992063492065,0.5902503052503053
71,1,flower,0.5811764705882353,0.5690288877788878,0.5944134337884338
72,2,flower,0.5766232370141038,0.5632758907758908,0.5650988594738594
73,3,flower,0.5455228758169934,0.5363798701298701,0.5926338383838383
74,4,flower,0.54,0.5289453601953602,0.5825671550671551
75,5,flower,0.5911936704506364,0.5299900793650794,0.5713492063492064
76,6,flower,0.5847385620915033,0.5566269841269842,0.5806475468975469
77,7,flower,0.5551960784313726,0.5615800865800866,0.6180339105339105
78,8,flower,0.5799183006535947,0.5516976079476079,0.5448175158175158
79,9,flower,0.584640522875817,0.557257881007881,0.5877962176712177
80,0,hotel,0.6301857585139319,0.6314529914529914,0.6252313118979786
81,1,hotel,0.5847385620915034,0.5606497668997669,0.5959072871572871
82,2,hotel,0.6254880460956312,0.5943989343989345,0.6318108974358976
83,3,hotel,0.5783986928104575,0.5701875901875902,0.5884992784992785
84,4,hotel,0.6098039215686274,0.6026465201465202,0.6750076312576312
85,5,hotel,0.5830925352597178,0.5597222222222221,0.5838492063492062
86,6,hotel,0.5832026143790849,0.5611327561327561,0.6139420995670997
87,7,hotel,0.5980392156862745,0.6140485209235209,0.670966810966811
88,8,hotel,0.5840359477124183,0.6063222888222888,0.6150963758463758
89,9,hotel,0.6110294117647059,0.6005792818292819,0.6205371017871018
90,0,garden,0.6906432748538012,0.6908241758241758,0.7560754985754985
91,1,garden,0.6511764705882352,0.6362895437895437,0.7448897630147631
92,2,garden,0.6338213794289647,0.6142028804528805,0.704252553002553
93,3,garden,0.706045751633987,0.6958026695526696,0.7360061327561327
94,4,garden,0.6694771241830064,0.633440170940171,0.6914514652014653
95,5,garden,0.6995356037151703,0.6665972222222222,0.668045634920635
96,6,garden,0.6949346405228758,0.6880212842712844,0.7491080447330447
97,7,garden,0.6866993464052288,0.6898178210678211,0.7721789321789321
98,8,garden,0.6221895424836601,0.6113462925962927,0.6784882339882341
99,9,garden,0.6477859477124183,0.6515863303363303,0.747876345876346
100,0,dreary,0.5321465428276573,0.4744123931623932,0.44355701397368064
101,1,dreary,0.5361764705882354,0.4810680985680986,0.4553024059274059
102,2,dreary,0.5156970244238046,0.4788036963036963,0.5114048451548452
103,3,dreary,0.5117647058823529,0.481780303030303,0.4064563492063492
104,4,dreary,0.4972549019607844,0.48263431013431013,0.5087469474969474
105,5,dreary,0.5212246302029584,0.486626984126984,0.3754265873015873
106,6,dreary,0.5212418300653595,0.4846933621933622,0.45825577200577194
107,7,dreary,0.5284313725490196,0.5044309163059163,0.4729563492063492
108,8,dreary,0.46148692810457514,0.457301171051171,0.5520098790098791
109,9,dreary,0.5198611111111111,0.4711965811965812,0.35220537795537793
110,0,home_alone,0.685999312005504,0.6563614163614164,0.7334303350970017
111,1,home_alone,0.6395098039215686,0.6109702797202797,0.6986048673548673
112,2,home_alone,0.6912151702786378,0.6697331834831834,0.6967031232656232
113,3,home_alone,0.690359477124183,0.6663023088023088,0.7262417027417029
114,4,home_alone,0.6182679738562091,0.6153052503052503,0.6818971306471306
115,5,home_alone,0.6301513587891296,0.5939980158730159,0.6691666666666668
116,6,home_alone,0.6624836601307189,0.6516323953823954,0.7235164141414142
117,7,home_alone,0.6329738562091504,0.6267604617604617,0.7057142857142857
118,8,home_alone,0.6678921568627452,0.6408039183039183,0.7087354312354313
119,9,home_alone,0.6404330065359477,0.6357199744699744,0.6962771672771673
120,0,brokovich,0.709563123495012,0.6868315018315018,0.75915988332655
121,1,brokovich,0.7586601307189543,0.7545300532800534,0.8071430652680653
122,2,brokovich,0.7526122291021672,0.7264785214785214,0.7593722596847596
123,3,brokovich,0.7581045751633987,0.7390259740259741,0.8029981962481962
124,4,brokovich,0.722549019607843,0.6927167277167278,0.7809310134310133
125,5,brokovich,0.7022703818369453,0.6905555555555556,0.7597519841269841
126,6,brokovich,0.7379084967320262,0.7412391774891776,0.7829464285714286
127,7,brokovich,0.7432352941176471,0.7381295093795094,0.7967162698412699
128,8,brokovich,0.747892156862745,0.7513560051060051,0.8113879731379733
129,9,brokovich,0.7073366013071897,0.7124207736707737,0.7749086191586192
130,0,star_wars,0.6791021671826625,0.6666178266178265,0.7518057251390584
131,1,star_wars,0.6424836601307191,0.6106701631701632,0.7233667721167721
132,2,star_wars,0.6345953732370141,0.6072036297036297,0.6943718087468087
133,3,star_wars,0.6981372549019609,0.6685497835497836,0.7598593073593074
134,4,star_wars,0.7093464052287582,0.6885897435897436,0.7936004273504274
135,5,star_wars,0.6837461300309597,0.642827380952381,0.7150694444444445
136,6,star_wars,0.6658496732026143,0.6399332611832611,0.678633658008658
137,7,star_wars,0.6368300653594771,0.6472582972582972,0.7370860389610389
138,8,star_wars,0.6647875816993464,0.6506200743700743,0.7442386502386501
139,9,star_wars,0.6454330065359477,0.6348330835830837,0.7432284382284382
